id_filial,nome_filial,matriz,razao_social,fone,cnpj,status,cidade,estado,filial_franquadora,nome_estado,long,lat,alt,geometry
1142593,AMERICANA,Muniz Auto Center - C.D,AMERICANA COMERCIO DE PNEUMATICOS LTDA,(19)3407-5189,53.379.320/0001-60,Ativo,americana,sp,0,sao paulo,-47.3303629263814,-22.7408835,550.365785,POINT (-47.3303629263814 -22.7408835)
1018701,ANÁPOLIS,Muniz Auto Center - C.D,MR ANAPOLIS COMERCIO DE PNEUMATICOS LTDA,(62)00000-0000,52.987.320/0001-80,Ativo,anapolis,go,0,goias,-48.9572179026313,-16.3288257446492,1023.435239,POINT (-48.957217902631314 -16.32882574464915)
6,APUCARANA,Muniz Auto Center - C.D,RB COMERCIO DE PNEUMATICOS LTDA,(43)3422-6194,44.633.207/0001-79,Ativo,apucarana,pr,0,parana,-51.4599851423592,-23.551592985,866.281028,POINT (-51.45998514235919 -23.551592985)
376461,ARAGUAÍNA,Muniz Auto Center - C.D,A. S. COMERCIO DE PNEUMATICOS LTDA,(99)98440-2669,47.211.955/0001-51,Ativo,araguaina,to,0,tocantins,-48.2087052518558,-7.19132893965496,235.277019,POINT (-48.20870525185581 -7.191328939654954)
370275,ARAPIRACA,Muniz Auto Center - C.D,OMENA AUTO CENTER LTDA,(00)00000-0000,47.430.712/0002-95,Ativo,arapiraca,al,0,alagoas,-36.6572965062872,-9.7559070107047,269.11452,POINT (-36.65729650628718 -9.7559070107047)
375191,ARAPONGAS,Muniz Auto Center - C.D,GUERRERO COMERCIO DE PNEUMATICOS LTDA,(43)3056-2280,46.288.802/0001-40,Ativo,arapongas,pr,0,parana,-51.4382797346677,-23.4135165319918,801.952842,POINT (-51.43827973466772 -23.41351653199175)
660290,ARARAS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS ARARAS LTDA,(16)9932-53641,50.383.861/0001-74,Ativo,araras,sp,0,sao paulo,-47.3858295274694,-22.3570865196587,635.498215,POINT (-47.385829527469355 -22.3570865196587)
252644,ASSIS,Muniz Auto Center - C.D,G&V COMERCIO DE PNEUMATICOS LTDA,(18)3323-7564,44139213000174,Ativo,assis,sp,0,sao paulo,-50.41751004,-22.66283502,562.425632,POINT (-50.417510039999996 -22.662835019999996)
559126,ASTORGA,Muniz Auto Center - C.D,GOMES & TREVISAN COMERCIO DE PNEUMATICOS LTDA,(44)3134-1160,06.989.439/0001-75,Ativo,astorga,pr,0,parana,-51.6696792625367,-23.236711965,678.297619,POINT (-51.66967926253667 -23.236711964999998)
300202,BALNEARIO CAMBORIÚ,Muniz Auto Center - C.D,DGB COMERCIO DE PNEUMATICOS LTDA,(47)3056-4808,446.793.290-00104,Ativo,balneario camboriu,sc,0,santa catarina,-48.6346174770265,-26.9918186052546,9.047909,POINT (-48.634617477026524 -26.9918186052546)
1138781,BALNEÁRIO CAMBORIÚ (Loja 2),Muniz Auto Center - C.D,BALNERARIO COMERCIO DE PNEUMATICOS LTDA,(47)00000-0000,530.695.900-00175,Ativo,balneario camboriu,sc,0,santa catarina,-48.6346174770265,-26.9918186052546,9.047909,POINT (-48.634617477026524 -26.9918186052546)
200141,BALSAS,Muniz Auto Center - C.D,A E COMERCIO DE PNEUMATICOS LTDA,(44)3045-2501,50.678.746/0001-27,Ativo,balsas,ma,0,maranhao,-46.0389926733405,-7.53116999024552,255.910533,POINT (-46.038992673340516 -7.531169990245514)
822811,BARREIRAS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS TCS BARREIRA LTDA,(77)99865-6082,51.247.080/0001-15,Ativo,barreiras,ba,0,bahia,-45.0041684370285,-12.1449248883906,441.997802,POINT (-45.00416843702851 -12.144924888390598)
589347,BARRETOS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS BARRETOS LTDA,(00)00000-0000,49.538.688/0001-57,Ativo,barretos,sp,0,sao paulo,-48.5673778394551,-20.558455515,537.663597,POINT (-48.56737783945504 -20.558455515)
