cidade,nome_estado,long,lat,alt,geometry,estado
alta floresta d'oeste,rondonia,-61.9998238962936,-11.9355403047646,337.735719,POINT (-61.99982389629356 -11.935540304764551),ro
ariquemes,rondonia,-63.0332692780484,-9.9084628665672,138.688981,POINT (-63.03326927804834 -9.908462866567195),ro
cabixi,rondonia,-60.5443135812009,-13.4997634596963,236.06316,POINT (-60.54431358120085 -13.49976345969625),ro
cacoal,rondonia,-61.4429442118224,-11.4338650286852,177.453547,POINT (-61.4429442118224 -11.43386502868515),ro
cerejeiras,rondonia,-60.8184261646815,-13.1950330320399,262.811307,POINT (-60.81842616468144 -13.195033032039898),ro
colorado do oeste,rondonia,-60.5550674630789,-13.1305638414553,419.090613,POINT (-60.55506746307892 -13.130563841455249),ro
corumbiara,rondonia,-60.9487011706614,-12.9975202364834,269.171178,POINT (-60.948701170661415 -12.9975202364834),ro
costa marques,rondonia,-64.2316539391172,-12.4360138777142,145.213903,POINT (-64.23165393911722 -12.43601387771415),ro
espigao d'oeste,rondonia,-61.0201731132847,-11.5285546333473,262.527225,POINT (-61.02017311328464 -11.528554633347248),ro
guajara-mirim,rondonia,-65.3239518196923,-10.7738837406705,133.414381,POINT (-65.32395181969233 -10.773883740670449),ro
jaru,rondonia,-62.4762307081317,-10.4359487678844,162.551328,POINT (-62.47623070813165 -10.4359487678844),ro
ji-parana,rondonia,-61.9450945826841,-10.882051318349,157.262673,POINT (-61.94509458268412 -10.882051318349),ro
machadinho d'oeste,rondonia,-61.9995925724466,-9.42556248,144.19909,POINT (-61.99959257244659 -9.42556248),ro
nova brasilandia d'oeste,rondonia,-62.308230163019,-11.7213254138559,259.417475,POINT (-62.30823016301895 -11.721325413855848),ro
ouro preto do oeste,rondonia,-62.2610551904363,-10.7235739008135,252.167649,POINT (-62.26105519043625 -10.7235739008135),ro
pimenta bueno,rondonia,-61.183665673642,-11.67753699,186.174033,POINT (-61.18366567364196 -11.67753699),ro
porto velho,rondonia,-63.8314456543611,-8.76889179,86.895415,POINT (-63.83144565436112 -8.768891790000001),ro
presidente medici,rondonia,-61.9094386835298,-11.1732050162268,178.222375,POINT (-61.90943868352974 -11.173205016226747),ro
rio crespo,rondonia,-62.9000103659589,-9.70553670973949,124.322215,POINT (-62.90001036595886 -9.70553670973949),ro
rolim de moura,rondonia,-61.7857809351854,-11.7222589133808,226.711103,POINT (-61.785780935185365 -11.72225891338075),ro
santa luzia d'oeste,rondonia,-61.7733054630545,-11.908423332469,265.234157,POINT (-61.77330546305451 -11.90842333246895),ro
vilhena,rondonia,-60.1385838660987,-12.7413734718029,595.093769,POINT (-60.13858386609869 -12.741373471802898),ro
sao miguel do guapore,rondonia,-62.7200634814364,-11.699489743806,191.082628,POINT (-62.72006348143641 -11.699489743805948),ro
nova mamore,rondonia,-65.3291490231467,-10.4117712947002,150.930604,POINT (-65.32914902314664 -10.41177129470015),ro
alvorada d'oeste,rondonia,-62.2772748656972,-11.3441300234334,182.40013,POINT (-62.277274865697166 -11.3441300234334),ro
alto alegre dos parecis,rondonia,-61.853077168603,-12.1317772245709,396.560544,POINT (-61.853077168602944 -12.1317772245709),ro
alto paraiso,rondonia,-63.3176294334976,-9.71666673807728,128.000112,POINT (-63.317629433497544 -9.716666738077276),ro
buritis,rondonia,-63.8296787917565,-10.2098054072356,153.171166,POINT (-63.829678791756514 -10.209805407235548),ro
novo horizonte do oeste,rondonia,-61.9943876627606,-11.7097429200152,229.511705,POINT (-61.9943876627606 -11.709742920015199),ro
cacaulandia,rondonia,-62.9031899345687,-10.3388728393928,161.056558,POINT (-62.90318993456872 -10.338872839392799),ro
campo novo de rondonia,rondonia,-63.6249914265426,-10.5684164693485,206.148936,POINT (-63.62499142654261 -10.568416469348499),ro
candeias do jamari,rondonia,-63.7000200718298,-8.78502070347748,84.750219,POINT (-63.70002007182978 -8.785020703477475),ro
castanheiras,rondonia,-61.9491611964662,-11.4268422254625,214.995394,POINT (-61.94916119646617 -11.42684222546245),ro
chupinguaia,rondonia,-60.9018477499554,-12.5568407610938,340.299631,POINT (-60.90184774995538 -12.556840761093799),ro
cujubim,rondonia,-62.5871745319209,-9.37819339905712,110.959894,POINT (-62.58717453192093 -9.37819339905712),ro
governador jorge teixeira,rondonia,-62.7404576394632,-10.6120717726075,201.781008,POINT (-62.740457639463166 -10.6120717726075),ro
itapua do oeste,rondonia,-63.1823370165183,-9.19187167532785,98.95108,POINT (-63.18233701651829 -9.191871675327853),ro
ministro andreazza,rondonia,-61.5189219301054,-11.1962379841591,266.291526,POINT (-61.518921930105336 -11.1962379841591),ro
mirante da serra,rondonia,-62.6694270952566,-11.045609289937,211.815643,POINT (-62.66942709525656 -11.045609289937001),ro
monte negro,rondonia,-63.2955591672175,-10.263097755883,155.400337,POINT (-63.29555916721746 -10.263097755882999),ro
nova uniao,rondonia,-62.55508939888,-10.9155320416628,241.493724,POINT (-62.55508939887997 -10.9155320416628),ro
parecis,rondonia,-61.5979979726776,-12.1798270507077,296.282838,POINT (-61.59799797267754 -12.1798270507077),ro
pimenteiras do oeste,rondonia,-61.0443790025384,-13.4765620024615,170.255529,POINT (-61.04437900253843 -13.476562002461499),ro
primavera de rondonia,rondonia,-61.3165462429165,-11.8257069542468,244.567351,POINT (-61.31654624291652 -11.8257069542468),ro
sao felipe d'oeste,rondonia,-61.5125081133327,-11.9143893546886,269.726767,POINT (-61.51250811333272 -11.91438935468855),ro
sao francisco do guapore,rondonia,-63.5708647107649,-12.0637984122334,165.693726,POINT (-63.570864710764894 -12.0637984122334),ro
seringueiras,rondonia,-63.0387609977072,-11.767116635607,185.830878,POINT (-63.03876099770721 -11.767116635607),ro
teixeiropolis,rondonia,-62.2559222539546,-10.9321692860399,191.34936,POINT (-62.25592225395462 -10.932169286039901),ro
theobroma,rondonia,-62.3451455299349,-10.2487305520261,191.598548,POINT (-62.345145529934925 -10.248730552026048),ro
urupa,rondonia,-62.3706324537667,-11.1285452756794,197.170024,POINT (-62.37063245376664 -11.128545275679398),ro
vale do anari,rondonia,-62.1768234421278,-9.85139270806179,157.665353,POINT (-62.17682344212778 -9.85139270806179),ro
vale do paraiso,rondonia,-62.1343903568099,-10.4310526845565,153.994474,POINT (-62.134390356809845 -10.43105268455645),ro
acrelandia,acre,-67.0523165800206,-10.0737938924635,205.894014,POINT (-67.05231658002056 -10.073793892463497),ac
assis brasil,acre,-69.5634591746677,-10.9428656809172,234.866835,POINT (-69.56345917466767 -10.942865680917151),ac
brasileia,acre,-68.7479434259584,-11.0164110190858,188.324139,POINT (-68.74794342595837 -11.016411019085748),ac
bujari,acre,-67.9518592792015,-9.82001962670938,198.174197,POINT (-67.95185927920147 -9.820019626709373),ac
capixaba,acre,-67.6735079719432,-10.5697677087928,212.303309,POINT (-67.67350797194321 -10.569767708792748),ac
cruzeiro do sul,acre,-72.6725313174358,-7.63069000500981,183.079525,POINT (-72.67253131743578 -7.630690005009809),ac
epitaciolandia,acre,-68.7448680666749,-11.0282398279564,206.036126,POINT (-68.7448680666749 -11.02823982795635),ac
feijo,acre,-70.3539836082165,-8.16024753,159.822497,POINT (-70.35398360821652 -8.16024753),ac
jordao,acre,-71.9508751248365,-9.19335785982848,264.977881,POINT (-71.95087512483644 -9.19335785982848),ac
mancio lima,acre,-72.9165010261308,-7.59322259385836,187.065998,POINT (-72.91650102613076 -7.59322259385836),ac
manoel urbano,acre,-69.2599445775075,-8.83631773689166,162.133821,POINT (-69.25994457750748 -8.83631773689166),ac
marechal thaumaturgo,acre,-72.7902659086983,-8.95359112315366,214.910605,POINT (-72.79026590869827 -8.95359112315366),ac
placido de castro,acre,-67.1882600861516,-10.3351332827427,129.189484,POINT (-67.18826008615159 -10.335133282742648),ac
porto walter,acre,-72.7423339648033,-8.26666636282753,201.805961,POINT (-72.74233396480327 -8.266666362827529),ac
rio branco,acre,-67.8105287004235,-9.97829875272498,137.865746,POINT (-67.81052870042349 -9.97829875272498),ac
rodrigues alves,acre,-72.6478549141997,-7.73360203372322,189.585426,POINT (-72.64785491419966 -7.73360203372322),ac
santa rosa do purus,acre,-70.4864968937616,-9.44340653741185,216.72423,POINT (-70.48649689376161 -9.443406537411848),ac
senador guiomard,acre,-67.7431723600051,-10.1481735861989,207.924797,POINT (-67.74317236000506 -10.14817358619885),ac
sena madureira,acre,-68.655684061692,-9.065339505,132.133034,POINT (-68.65568406169201 -9.065339505),ac
tarauaca,acre,-70.7555010628937,-8.15566859176562,172.144466,POINT (-70.75550106289367 -8.15566859176562),ac
xapuri,acre,-68.5062948050463,-10.6520719403355,173.281643,POINT (-68.50629480504628 -10.65207194033545),ac
porto acre,acre,-67.5405900835194,-9.60085823118788,134.322793,POINT (-67.54059008351942 -9.600858231187878),ac
alvaraes,amazonas,-64.8135346775686,-3.21658376906639,46.116014,POINT (-64.81353467756857 -3.2165837690663843),am
amatura,amazonas,-68.2096146409404,-3.36680518750561,73.447708,POINT (-68.20961464094039 -3.3668051875056046),am
anama,amazonas,-61.4059034797501,-3.57637042689027,21.613748,POINT (-61.40590347975009 -3.5763704268902696),am
anori,amazonas,-61.6589553828779,-3.74538558611889,20.346246,POINT (-61.65895538287788 -3.74538558611889),am
apui,amazonas,-59.8856661047188,-7.1978701516076,132.98111,POINT (-59.885666104718794 -7.197870151607594),am
atalaia do norte,amazonas,-70.1879892845226,-4.36615748971603,76.016638,POINT (-70.18798928452259 -4.366157489716031),am
autazes,amazonas,-59.1335670918168,-3.57866364177127,20.491551,POINT (-59.13356709181675 -3.5786636417712647),am
barcelos,amazonas,-62.9256696581026,-0.972801052532191,35.36196,POINT (-62.92566965810259 -0.9728010525321905),am
barreirinha,amazonas,-57.0677504898938,-2.7981498369298,11.234609,POINT (-57.06775048989377 -2.798149836929795),am
benjamin constant,amazonas,-70.0273484332765,-4.37498901860391,69.803811,POINT (-70.02734843327646 -4.374989018603911),am
beruri,amazonas,-61.3715708916659,-3.89451340981806,22.862003,POINT (-61.371570891665854 -3.8945134098180545),am
boa vista do ramos,amazonas,-57.5877073464737,-2.97172653158936,23.018048,POINT (-57.58770734647371 -2.971726531589355),am
boca do acre,amazonas,-67.3995777566805,-8.75124319609379,106.766033,POINT (-67.39957775668051 -8.751243196093785),am
borba,amazonas,-59.5945590194969,-4.39061989147273,29.014905,POINT (-59.59455901949687 -4.390619891472724),am
caapiranga,amazonas,-61.2113341331817,-3.3300933919416,20.16684,POINT (-61.21133413318166 -3.3300933919416),am
canutama,amazonas,-64.3942308189288,-6.52910607582614,52.008963,POINT (-64.3942308189288 -6.529106075826135),am
carauari,amazonas,-66.8966352816837,-4.88166590420413,66.15796,POINT (-66.89663528168367 -4.88166590420413),am
careiro,amazonas,-60.3638098437089,-3.82244727004599,25.175384,POINT (-60.36380984370889 -3.82244727004599),am
careiro da varzea,amazonas,-59.8263140608339,-3.1973965948696,19.228559,POINT (-59.82631406083385 -3.197396594869595),am
coari,amazonas,-63.1421839840562,-4.08421915877588,37.939947,POINT (-63.142183984056146 -4.0842191587758805),am
codajas,amazonas,-62.0634296604883,-3.84304593273892,28.155367,POINT (-62.063429660488275 -3.8430459327389195),am
eirunepe,amazonas,-69.8662902624416,-6.66735256685182,122.174399,POINT (-69.86629026244154 -6.667352566851814),am
envira,amazonas,-70.0304125429825,-7.43981754396838,137.396301,POINT (-70.03041254298246 -7.439817543968379),am
fonte boa,amazonas,-66.0965029898347,-2.51227068454779,58.147019,POINT (-66.0965029898347 -2.5122706845477847),am
guajara,amazonas,-72.5824305383396,-7.5477744148336,182.751246,POINT (-72.58243053833962 -7.547774414833599),am
humaita,amazonas,-63.0266980219283,-7.51222495061139,55.017452,POINT (-63.026698021928304 -7.512224950611385),am
ipixuna,amazonas,-71.6944180603084,-7.05098011443721,156.327962,POINT (-71.69441806030835 -7.050980114437209),am
iranduba,amazonas,-60.1933881661307,-3.2810538776069,43.223118,POINT (-60.19338816613067 -3.2810538776068947),am
itacoatiara,amazonas,-58.4401754367571,-3.14037880391635,21.659418,POINT (-58.44017543675712 -3.1403788039163447),am
itamarati,amazonas,-68.2479174359782,-6.43779934861918,112.652164,POINT (-68.24791743597817 -6.437799348619175),am
itapiranga,amazonas,-58.0345458839662,-2.74184275232884,69.268709,POINT (-58.03454588396619 -2.7418427523288402),am
japura,amazonas,-66.9969034946413,-1.880844858703,69.840525,POINT (-66.99690349464132 -1.8808448587029998),am
jurua,amazonas,-66.0630419255434,-3.47488959889068,64.379174,POINT (-66.0630419255434 -3.47488959889068),am
jutai,amazonas,-66.7713275466878,-2.74464644685786,62.144425,POINT (-66.77132754668781 -2.7446464468578546),am
labrea,amazonas,-64.79477302752,-7.26194655332705,57.507314,POINT (-64.79477302752002 -7.261946553327049),am
manacapuru,amazonas,-60.6205894458706,-3.29827803546755,26.965542,POINT (-60.62058944587061 -3.2982780354675496),am
manaquiri,amazonas,-60.4588813063745,-3.42907966935262,29.481121,POINT (-60.458881306374515 -3.4290796693526198),am
manaus,amazonas,-60.023335181061,-3.13469149120195,34.356331,POINT (-60.02333518106102 -3.134691491201945),am
manicore,amazonas,-61.2992484088508,-5.81320526118813,44.346313,POINT (-61.29924840885076 -5.813205261188131),am
maraa,amazonas,-65.5742837031641,-1.86643687730125,47.135937,POINT (-65.57428370316404 -1.8664368773012499),am
maues,amazonas,-57.7150343867525,-3.38642792621106,24.058942,POINT (-57.71503438675245 -3.386427926211055),am
nhamunda,amazonas,-56.7167699133376,-2.1889837668969,1.0,POINT (-56.71676991333763 -2.1889837668968997),am
